year,geo,Backward (Cross-border),Backward (Mode 3),Forward (Cross-border),Forward (Mode 3)
2000,NZL,8.56195663425631,11.5351213784861,5.43644975659741,1.65670999769072
2000,PAK,2.45712753861352,2.43704340054293,5.07863302072585,0.418443277877152
2000,PER,3.5327110215228,3.68223826988209,3.38524023051792,0.406229148471034
2000,PHL,8.11085676448733,6.76273935372204,6.09251961327685,0.304896015854685
2000,POL,10.987690465983,5.97202676198378,12.1463497256343,0.208155293522666
2000,PRT,11.6202909800097,5.50626197999251,7.17752391447887,2.3226005769053
2000,ROU,8.50134033844842,6.7592120071012,13.3986256158132,0.028524745803812
2000,RUS,5.07982263669518,1.75078715068683,13.4059459354425,0.398411436290126
2000,SAU,3.8480030183927,1.22973805431409,3.64278996178614,1.47054929560517
2000,SEN,12.7064730346534,4.50115788436368,6.14181423340187,0.0888628322233527
2000,SGP,21.6687786484858,11.4408111708426,9.62523127264299,2.17430731449114
2000,STP,18.1511706405952,23.0658260450823,8.08856242417748,3.63494249389051
2000,SVK,16.5160913558497,4.55766085277616,10.5073645032435,0.379276063753917
2000,SVN,15.0065482598006,2.45335443333273,6.53911503310828,0.928523512444441
2000,SWE,12.8731894256427,7.42860069980695,9.52427524583571,3.10055438847665
2000,THA,16.5324312634999,4.36369368697207,5.11194576495877,0.221180914315865
2000,TUN,11.8991764150241,4.19657663379845,4.87519677747121,0.660736564593894
2000,TUR,5.42237500924045,4.62984098164965,10.3490322344167,0.629544372083336
2000,TWN,15.0480297382358,5.0946464240358,6.5486924286267,1.50539645083193
2000,UKR,9.89355987039712,3.1520012320237,8.81324901235904,0.23639178619944
2000,USA,3.29993445803131,3.63099272480527,12.2260376249831,14.3275734605677
2000,VNM,12.3775792305503,2.26823521966854,3.3519767771755,0.0838798628226745
2000,ZAF,6.97947315313858,6.47166345337083,11.4807368481622,2.37673058708303
2000,ROW,6.2013256079309,3.66436285652934,4.72221771367035,1.8521819516376
2000,EU27,6.11477492928878,3.67637430343775,7.70403285453901,5.21997154074512
2023,AGO,2.56989203278245,0.80889707056563,2.11314020666015,0.43297390328017
2023,ARE,13.6300191634571,3.98877400343222,5.13123290366204,2.04129476020611
2023,ARG,4.04675120907107,5.94234077875766,7.52167840141601,2.97756193393232
2023,AUS,4.39354782622415,8.52516607754066,9.85224592185986,4.92034001643687
2023,AUT,16.3282005066222,8.49602690880566,12.8596114699206,9.50249577291798
2023,BEL,22.0923284735179,9.85894902455789,17.2826648873477,4.49152143060843
2023,BGD,4.30971516198539,1.78798963382296,4.56567252865422,0.437266811165781
2023,BGR,14.4004323522507,11.6236332135301,10.5915577580579,0.914338135530208
2023,BLR,15.304542342416,2.35181585114703,5.69197631552667,0.358574307536701
2023,BRA,5.74922651132103,4.23259204140599,8.65761492406551,2.65244954469775
2023,BRN,7.41112580663808,1.73252401997888,2.25496451644663,1.86957706376975
2023,CAN,11.0958675442888,10.7771649188792,7.87341748756873,11.2941449678148
2023,CHE,16.4540073468624,24.9576978921117,13.3284442252095,17.7039408969998
2023,CHL,7.53148681778364,4.87487584412417,7.64940230345708,1.42546343437279
2023,CHN,5.96137860972203,2.13034885578284,8.23922656238918,2.11612538926054
2023,CIV,7.4375059994704,4.21723723817495,6.89712803225216,0.479603944889031
2023,CMR,3.98832783339616,6.35751981386323,12.8557813989206,0.778992183658612
2023,COD,8.44225766133602,1.38544077129145,7.82815569874465,0.111480479303432
2023,COL,6.40589661670836,4.14184637040667,7.88347275221117,1.79044504781894
2023,CRI,9.49899297378761,15.2884847700627,8.80346598537365,0.827170683447351
2023,CYP,39.9491563379578,15.0427876642543,13.0644015772029,8.87475689422898
2023,CZE,18.5297676817634,9.54963606086941,10.3342990171932,1.00354229282418
2023,DEU,13.1838926646314,6.83622582637033,14.1476871898126,12.4215399835921
2023,DNK,22.3183394435548,8.13997679920763,12.4864817179136,13.1051434779032
2023,EGY,4.33355283481333,5.23454495024575,13.2987627858761,0.88605092339889
2023,ESP,11.1093329193049,8.67357201270583,13.0753425860152,7.19738272729379
2023,EST,20.9789129935633,12.735638756985,14.3849759834345,6.02513042619396
2023,FIN,18.0307559026566,9.13830264296701,13.404767577271,12.5420192909902
2023,FRA,13.2351256918283,7.24410212951583,15.0895794711432,20.7331715541497
2023,GBR,10.4551366344839,18.4151065362711,19.684167071139,17.4049120388865
2023,GRC,20.6566623534335,5.94863608330128,11.2953560185777,1.90154597915801
2023,HKG,12.6387070260783,44.3005718563462,15.9533209863301,20.9231694518286
2023,HRV,11.8709965103501,13.8319245588533,8.58869352693563,1.12692030211014
2023,HUN,22.0122701479002,8.75160071037468,9.23637354813817,1.43878097177004
2023,IDN,5.3801561800848,3.46764332770222,7.97228003899263,0.550919965079408
2023,IND,8.20526718743398,4.19971129918086,12.1634403432905,1.0358256277575
2023,IRL,35.2813889640559,16.5595229643024,9.82345355464763,4.68980994750223
2023,ISL,14.6639953459848,5.0981021430711,11.9827602697182,7.57595429757652
