year,geo,Domestic content,Foreign content (Mode 1/4),Foreign content (Mode 3)
2023,SEN,7.666684776,15.9299978,1.10373075
2023,SGP,10.45377704,23.58955043,3.748615394
2023,STP,18.0614622,3.677017275,4.908001911
2023,SVK,9.817863859,25.14986043,4.066472122
2023,SVN,11.51545625,21.29758873,3.230713943
2023,SWE,15.46123811,17.13231556,4.280767387
2023,THA,12.82428551,18.61449216,1.858313664
2023,TUN,8.438697778,14.98128035,1.828391192
2023,TUR,16.57861405,12.53332048,1.707727262
2023,TWN,12.75163437,13.04633502,2.475201686
2023,UKR,16.08690107,13.00913038,1.619106155
2023,USA,23.67135008,4.691389417,1.625263775
2023,VNM,6.177147003,17.89634912,0.75166863
2023,ZAF,18.06451192,11.41490494,4.455384024
2023,ROW,7.568736685,7.602376326,0.515822365
2023,EU27,23.19421112,8.487817739,5.351191768
